" Feature Name"|"Antarctica ID"|"Class"|"Latitude"|"Longitude"|"Elevation (m)"|"Decision Year"|"Date Last Modified"|
"Bayly Glacier"|"1100"|"Glacier"|"643700S"|"0615000W"|""|"01-JAN-1965"|"05-Mar-1997"
"Beaglehole Glacier"|"1111"|"Glacier"|"663300S"|"0640700W"|""|"01-JAN-1976"|""
"Beakley Glacier"|"1115"|"Glacier"|"735100S"|"1195000W"|""|"01-JAN-1967"|""
"Beaman Glacier"|"1120"|"Glacier"|"705800S"|"1643800E"|""|"01-JAN-1964"|"05-Mar-1997"
"Beardmore Glacier"|"1122"|"Glacier"|"834500S"|"1710000E"|""|"01-JAN-1947"|""
"Bearman Glacier"|"18557"|"Glacier"|"722100S"|"0991000W"|""|"01-JAN-2003"|""
"Beaumont Glacier"|"1136"|"Glacier"|"720200S"|"0620000W"|""|"01-JAN-1953"|""
"Beaver Glacier"|"1141"|"Glacier"|"670200S"|"0504000E"|""|"01-JAN-1961"|""
"Beaver Glacier"|"1142"|"Glacier"|"832400S"|"1693000E"|""|"01-JAN-1966"|""
"Behr Glacier"|"1171"|"Glacier"|"725500S"|"1680500E"|""|"01-JAN-1973"|""
"Belgica Glacier"|"1182"|"Glacier"|"652300S"|"0635000W"|""|"01-JAN-1971"|""
"Bell Glacier"|"1192"|"Glacier"|"664200S"|"1245400E"|""|"01-JAN-1955"|""
"Bellisime Glacier"|"18337"|"Glacier"|"721900S"|"0995300W"|""|"01-JAN-2003"|"13-Aug-2003"
"Benbrook Glacier"|"18249"|"Glacier"|"812700S"|"1585500E"|""|"01-JAN-2003"|"24-Jan-2003"
"Bender Glacier"|"18829"|"Glacier"|"784300S"|"0852000W"|""|"01-NOV-2006"|""
"Benson Glacier"|"1243"|"Glacier"|"764900S"|"1621200E"|""|"01-JAN-1962"|""
"Beowulf Glacier"|"1256"|"Glacier"|"773727S"|"1615031E"|""|""|""
"Berry Glacier"|"1301"|"Glacier"|"750000S"|"1340000W"|""|"01-JAN-1974"|""
"Bertoglio Glacier"|"1314"|"Glacier"|"791800S"|"1602000E"|""|"01-JAN-1965"|""
"Bertrab Glacier"|"1315"|"Glacier"|"543700S"|"0355700W"|""|"01-JAN-1952"|""
"Bertram Glacier"|"1317"|"Glacier"|"705000S"|"0672800W"|""|"01-JAN-1955"|""
"Berwick Glacier"|"1320"|"Glacier"|"843600S"|"1654500E"|""|"01-JAN-1966"|""
"Bevin Glacier"|"1338"|"Glacier"|"661700S"|"0634700W"|""|"01-JAN-1952"|""
"Biker Glacier"|"17344"|"Glacier"|"771054S"|"1601103E"|""|"01-JAN-1996"|"23-Sep-1998"
"Bilgeri Glacier"|"1366"|"Glacier"|"660100S"|"0644700W"|""|"01-JAN-1965"|""
"Bindschadler Glacier"|"1385"|"Glacier"|"775738S"|"1620941E"|""|"01-JAN-1992"|""
"Bingham Glacier"|"1389"|"Glacier"|"692300S"|"0631000W"|""|"01-JAN-1947"|""
"Bingley Glacier"|"1391"|"Glacier"|"842900S"|"1671000E"|""|"01-JAN-1952"|""
"Birley Glacier"|"1412"|"Glacier"|"655800S"|"0642100W"|""|"01-JAN-1955"|""
"Bishop Glacier"|"18809"|"Glacier"|"694200S"|"0712700W"|""|"01-JAN-2006"|""
"Black Glacier"|"1451"|"Glacier"|"714000S"|"1644200E"|""|"01-JAN-1964"|"05-Mar-1997"
"Blackwall Glacier"|"1481"|"Glacier"|"861000S"|"1594000W"|""|""|""
"Blackwelder Glacier"|"1484"|"Glacier"|"775607S"|"1641031E"|""|"01-JAN-1960"|""
"Blades Glacier"|"1487"|"Glacier"|"773800S"|"1530000W"|""|"01-JAN-1970"|""
"Blaiklock Glacier"|"1489"|"Glacier"|"803000S"|"0295100W"|""|"01-JAN-1962"|""
"Blair Glacier"|"1492"|"Glacier"|"664500S"|"1243200E"|""|"01-JAN-1955"|""
"Blanchard Glacier"|"1507"|"Glacier"|"644400S"|"0620500W"|""|"01-JAN-1965"|""
"Blankenship Glacier"|"1516"|"Glacier"|"775921S"|"1614539E"|""|"01-JAN-1992"|""
"Bledisloe Glacier"|"18486"|"Glacier"|"812200S"|"1562100E"|""|"01-JAN-2003"|""
"Blue Glacier"|"1550"|"Glacier"|"775038S"|"1635150E"|""|"01-AUG-1949"|"20-Jan-2010"
"Blériot Glacier"|"1524"|"Glacier"|"642500S"|"0611000W"|""|"01-JAN-1965"|""
"Bogen Glacier"|"1590"|"Glacier"|"544800S"|"0355600W"|""|""|""
"Bol Glacier"|"1603"|"Glacier"|"775206S"|"1623423E"|""|"01-JAN-1964"|""
"Bolton Glacier"|"1615"|"Glacier"|"650100S"|"0625800W"|""|"01-JAN-1965"|"05-Mar-1997"
"Bombardier Glacier"|"1617"|"Glacier"|"641900S"|"0595900W"|""|"01-JAN-1964"|""
"Bond Glacier"|"1626"|"Glacier"|"665800S"|"1090000E"|""|"01-JAN-1955"|""
"Bondeson Glacier"|"1625"|"Glacier"|"824400S"|"1650000E"|""|"01-JAN-1966"|""
"Bonne Glacier"|"1643"|"Glacier"|"775313S"|"1635018E"|""|"01-JAN-1993"|""
"Boomerang Glacier"|"1651"|"Glacier"|"743300S"|"1635400E"|""|""|""
"Borchgrevink Glacier"|"1662"|"Glacier"|"730400S"|"1683000E"|""|"01-JAN-1961"|""
"Borchgrevink Glacier Tongue"|"1663"|"Glacier"|"732100S"|"1685000E"|""|"01-JAN-1969"|""
"Bornmann Glacier"|"1699"|"Glacier"|"722000S"|"1701300E"|""|"01-JAN-1962"|""
"Borns Glacier"|"1700"|"Glacier"|"774700S"|"1620228E"|""|"01-JAN-1964"|""
"Boschert Glacier"|"1708"|"Glacier"|"744300S"|"1113000W"|""|""|""
"Bowden Glacier"|"17298"|"Glacier"|"780800S"|"1630700E"|""|"01-JAN-1995"|"22-Sep-1998"
"Bowers Glacier"|"1756"|"Glacier"|"723700S"|"1690300E"|""|"01-JAN-1964"|""
"Bowers Piedmont Glacier"|"1760"|"Glacier"|"774328S"|"1641351E"|""|"01-AUG-1949"|"20-Jan-2010"
"Bowin Glacier"|"1762"|"Glacier"|"845300S"|"1772000E"|""|"01-JAN-1966"|""
"Bowman Glacier"|"1772"|"Glacier"|"853400S"|"1620000W"|""|"01-JAN-1965"|""
"Boyana Glacier"|"18530"|"Glacier"|"624200S"|"0600500W"|""|"01-JAN-2003"|""
"Boyd Glacier"|"1786"|"Glacier"|"771400S"|"1452500W"|""|"01-JAN-1947"|""
